FID,name,aeroway,X,Y
0, ,runway,73.081147700000002,33.624624400000002
1, ,runway,71.513558000000003,34.005723900000000
2,07R/25L,runway,67.142687400000000,24.900591200000001
3, ,taxiway,67.142971299999999,24.900663099999999
4, ,taxiway,67.173632499999997,24.906436899999999
5, ,taxiway,67.158040700000001,24.902495500000001
6, ,taxiway,67.170238800000007,24.905602200000001
7, ,runway,63.330511199999997,25.282394700000001
8, ,taxiway,68.438315500000002,28.290629299999999
9, ,taxiway,73.101851900000000,33.609861199999997
10, ,taxiway,73.095889400000004,33.614475400000003
11, ,taxiway,73.082833800000003,33.615427500000003
12, ,runway,74.077979600000006,35.428559300000003
13, ,runway,74.325030699999999,35.916443100000002
14, ,runway,69.062326299999995,25.673143000000000
15, ,taxiway,67.149546799999996,24.900331000000001
16, ,taxiway,67.153381699999997,24.901336600000000
17, ,runway,62.318894899999997,25.228299600000000
18, ,taxiway,67.167191000000003,24.903668600000000
19, ,taxiway,67.169935199999998,24.904359899999999
20, ,taxiway,67.150529399999996,24.900573900000001
21, ,runway,75.530462499999999,35.353290700000002
22, ,runway,72.344129100000004,34.808379400000000
23,Lhr PAF,taxiway,74.402635599999996,31.523529000000000
24,Lhr PAF,taxiway,74.402393000000004,31.510227000000000
25,Lhr PAF,taxiway,74.400414100000006,31.522173800000001
26, ,runway,71.420263100000000,30.219754900000002
27, ,taxiway,71.513558000000003,34.005723900000000
28, ,taxiway,71.515565199999998,33.981758999999997
29, ,taxiway,71.514797799999997,33.990922599999998
30, ,taxiway,71.519133199999999,33.993730100000001
31, ,taxiway,71.519734200000002,33.996951600000003
32, ,runway,71.732425899999996,29.350681399999999
33, ,taxiway,71.711180499999998,29.349805600000000
34, ,runway,66.951146899999998,24.898486100000000
35, ,runway,66.956351400000003,24.898488799999999
36, ,taxiway,66.933759800000004,24.899910299999998
37, ,runway,73.797043500000001,33.845718400000003
38, ,runway,67.713576799999998,26.481795000000002
39, ,runway,73.777489900000006,32.068749799999999
40, ,runway,69.176075900000001,28.638468899999999
41,Muzaffarabad,runway,73.504890900000007,34.341768799999997
42, ,runway,71.553877900000003,32.554511300000001
43, ,runway,71.988955700000005,34.078637999999998
44, ,runway,71.447435499999997,33.561250999999999
45, ,runway,72.601022000000000,33.981673899999997
46, ,runway,68.153951599999999,27.337471600000001
47, ,runway,68.385274899999999,26.207894000000000
48, ,runway,66.634809899999993,27.796447000000001
49, ,runway,66.925603699999996,30.264059100000001
50, ,runway,69.473215999999994,31.356779000000000
