FID,Y,X,Province,School_Nam
0,30.426274720999999,67.779579201700002,Balochistan,GBMIDS Sassan Manna
1,30.419685600800001,67.787663101099994,Balochistan,GBPS Sharqui Sassan Mana
2,30.435388089700002,67.766895166300003,Balochistan,GBMIDS Masory Mana
3,30.447695039399999,67.755424845400000,Balochistan,GBPS Gharat Mana
4,30.462069323800002,67.736008539899998,Balochistan,GBPS Maraie  Mana
5,30.461579682200000,67.734508237100002,Balochistan,GBPS Malkana
6,30.469515824199998,67.728358617100000,Balochistan,GBPS Ahmed Abad Mana
7,30.469658645599999,67.726330116699998,Balochistan,GBPS Dawat Mana
8,30.470225144200000,67.710691466399993,Balochistan,GBPS Koz Karaiz Mana
9,30.474786342600002,67.691867280200000,Balochistan,GBPS Koz Landi Mana
10,30.472014180799999,67.709052391200004,Balochistan,GBPS Goristeen Mana
11,30.473608662499998,67.777027022300004,Balochistan,GBMIDS Sassnak Mana
12,30.479838724200000,67.785336173499999,Balochistan,GBPS Killi Yar Muhammad Sassnak Mana
13,30.474636566800001,67.765476281500000,Balochistan,GBPS Soory Mana
14,30.500574731400000,67.692260533799995,Balochistan,GBPS Sharqi Zargi
15,30.383010341799999,67.724231639799996,Balochistan,GBPS Ponga Sarang Zai
16,30.381185664000000,67.780947015199999,Balochistan,GBPS Wangi Shahbaz Khan Akram Sarkhobi
17,30.383998872599999,67.747308433699999,Balochistan,GBPS Wach Ghoski
18,30.392154816000001,67.713655292200002,Balochistan,GBPS New Basargi
19,30.419794518600000,67.724843155000002,Balochistan,GBPS Basargi
20,30.403713371799999,67.746415585600005,Balochistan,GBPS Bano Bagh
21,30.401431162700000,67.731298843900007,Balochistan,GBPS Sandeman Tangi
22,30.397851816999999,67.731252419300006,Balochistan,GBPS Wazay Sar Sandeman Tangi
23,30.395870110400001,67.723870260900000,Balochistan,GBPS  Malik Nadir Khan
24,30.399734044999999,67.730901844000002,Balochistan,GGMIDS Sandeman Tangi
25,30.342976291900001,67.742154725500001,Balochistan,GBHS Kharwari Baba
26,30.352089298900001,67.753068630000001,Balochistan,GBPS Guda Chashma
27,30.342946325300002,67.750843003000000,Balochistan,GBMIDS Sardar Shahen Koshki
28,30.341667436900000,67.728487724000004,Balochistan,GBPS Killi Saeed Khan
29,30.335086042499999,67.749891581300005,Balochistan,GBPS Dozakh Tungi
30,30.463573848900001,67.586980203899998,Balochistan,GBHS Kawas Sharqi
31,30.480976435700001,67.370265361400001,Balochistan,GBHS Ahmadoon
32,30.384793377899999,67.724065540500007,Balochistan,GGHS Ziarat
33,30.379231979600000,67.713988876000002,Balochistan,GGPS Bar Maghzi
34,30.445876144100001,67.643602725299999,Balochistan,GGHS Cheena
35,30.453256938300001,67.637247671599994,Balochistan,GGMIDS Gharbi Cheena Akhtar Muhammad
36,30.462002368000000,67.609834621700003,Balochistan,GGHS Zindra
37,30.468856760200001,67.567491087899995,Balochistan,GGHS Kawas Gharbi
38,30.496140592800000,67.444045325399998,Balochistan,GGPS Nasrullah Gogi
39,30.487191947100001,67.370002480899998,Balochistan,GGHS Juma Agha Ahmadoon Bhatto
40,30.482192447799999,67.361635976200006,Balochistan,GGMIDS Pitao Ahmedon
41,30.554695324800001,67.469313180599997,Balochistan,GGMIDS Sarmakhsi
42,30.454376905099998,67.341523038500000,Balochistan,GGPS Lower Kach
43,30.470021155000001,67.350849244000003,Balochistan,GGPS Bundat Jungel
44,30.334632690100001,67.717800883300001,Balochistan,GBPS Killi Kotan Khan
45,30.369328159199998,67.694391987700001,Balochistan,GBPS Wach Murdar No.1
46,30.354819005100001,67.654894163799995,Balochistan,GBPS Murdar Kach
47,30.436514525300002,67.317216346899997,Balochistan,GBPS Koz Kach
48,30.442704631200002,67.330500990600001,Balochistan,GBPS Killi Shahbaz Kach
49,30.453632937100000,67.340909797600006,Balochistan,GBHS Lower Kach
50,30.467806294999999,67.350248820199994,Balochistan,GBPS Bundat Jungel
51,30.552537799800000,67.472064122299997,Balochistan,GBPS Sar Mukhsi
52,30.532308938800000,67.464539255099993,Balochistan,GBPS Rodgi Talri
53,30.537994515899999,67.485816458200006,Balochistan,GBPS Molvi Abdul Manan Tangi
54,30.547280730600001,67.474185993600003,Balochistan,GBMIDS Tungi
55,30.510549146199999,67.335206809100001,Balochistan,GBPS Aghbarg
56,30.471883178399999,67.569277238300003,Balochistan,GBHS Kawas Gharbi
57,30.465605472800000,67.613444652499993,Balochistan,GBHS Zindra
58,30.444203514100000,67.647824084700005,Balochistan,GBHS Cheena
59,30.451226283400000,67.500264929599993,Balochistan,GBHS Kan Depot
60,30.493623599799999,67.439442583100004,Balochistan,GBMIDS Gogi
61,30.492703326600001,67.381822537299996,Balochistan,GBPS Zareen Chungi
62,30.492721366300000,67.381660693699999,Balochistan,GBPS Madrassa Zareen Chungi
63,30.497560291500001,67.370282605400007,Balochistan,GBMIDS Sirki Ahmadoon
64,30.480448053400000,67.356946868300000,Balochistan,GBPS Killi Ismail Ahmadoon
65,30.469036007800000,67.554170001700001,Balochistan,GBPS Mamozun Kawas
66,30.484890657099999,67.372207777900002,Balochistan,GBPS Killi Barkat Ullah Shah
67,30.462424973099999,67.530793817100005,Balochistan,GBHS Werchoom
68,30.493309816600000,67.394625389799998,Balochistan,GBPS Chungi Bala
69,30.378314019299999,67.715398958799994,Balochistan,GBPS Killi Shah Baz Khan
70,30.468067983499999,67.717392674899997,Balochistan,GBPS Killi Azam Mana
71,30.466774766400000,67.741614362700005,Balochistan,GBHS Manna
72,30.504916918100001,67.687441249299994,Balochistan,GGMIDS Zargi Killi Abdullah Jan
73,30.505096886800001,67.686196059300002,Balochistan,GBMIDS Zargi
74,30.521899754900002,67.650781079100000,Balochistan,GBHS Spazundi
75,30.518454111499999,67.674684024800001,Balochistan,GBPS Wasti Spazundi
76,30.504518698999998,67.641860850699999,Balochistan,GBPS Zereen Spazundi
77,30.525771007100001,67.646981533700000,Balochistan,GBPS Lile Gut
78,30.541396025800001,67.647232561199999,Balochistan,GBPS Spera Ragha
79,30.462344789100001,67.569326542200002,Balochistan,GBPS Murgha Kawas
80,30.462873610900001,67.561149813800000,Balochistan,GBPS Kona Kawas
81,30.456805008100002,67.584071385100003,Balochistan,GBPS Quba Kawas
82,30.469804805999999,67.578677587200005,Balochistan,GBPS Ghoz Kawas
83,30.461275487900000,67.544158621700007,Balochistan,GBPS Kharbozi
84,30.455049518900001,67.514521923600000,Balochistan,GBPS Kan Bangla
85,30.466388117899999,67.520116123500003,Balochistan,GBPS Werchoom Ragha
86,30.445213909700001,67.473481000800007,Balochistan,GBPS Wam Tangi
87,30.480822270800001,67.491514790799997,Balochistan,GBPS Chari
88,30.454698965799999,67.602741114699995,Balochistan,GBPS Killi Ragha Kawas
89,30.450886032100001,67.471475099100005,Balochistan,GBPS Sra Khazi
90,30.449484385700000,67.634411879100000,Balochistan,GBPS Gharbi Cheena
91,30.441790346000001,67.647169434399999,Balochistan,GBPS Abdul Rahim Cheena
92,30.439173908200001,67.659725136500001,Balochistan,GBPS Pichi Faqir Muhammad
93,30.429311302300000,67.665088217399997,Balochistan,GBPS Pichi Dam Faran Tangi
94,30.425599126400002,67.676406446499996,Balochistan,GBPS Mulla Hotan
95,30.435186119600001,67.661253862300001,Balochistan,GBPS Pichi Karaiz
96,30.370309758600001,67.460389499200005,Balochistan,GBPS Ghurhur Mangi
97,30.370298800499999,67.460155938699998,Balochistan,GBPS Mangi
98,30.459098303099999,67.369238385800003,Balochistan,GBPS Kala Cheena
99,30.452916131999999,67.342803564199997,Balochistan,GBPS Kadi Kach
100,30.459830431899999,67.622925944499997,Balochistan,GBPS Pittow
101,30.384682768000001,67.721809466600007,Balochistan,GBMODHS Ziarat
102,30.475387601800001,66.950396531500004,Balochistan,GBPS Kili Mandon
103,30.504738090400000,66.956870940000002,Balochistan,GBHS Yaro
104,30.521678286299998,66.972721190000001,Balochistan,GBPS Killi Muhammad Raza
105,30.527925915800001,66.979655725200004,Balochistan,GBPS Killi Abdul Razaque
106,30.534989452100000,66.961138313000006,Balochistan,GBPS Toor Ghundi
107,30.467751777699998,66.936052651200001,Balochistan,GBPS Killi Masterzai
108,30.586750239600001,67.000991998399996,Balochistan,GBPS Madrisa Machan
109,30.585872232500002,66.993745465800004,Balochistan,GBPS Killi Syed Abad
110,30.580761276800001,66.994145665600001,Balochistan,GBPS Christian Abadi
111,30.584475265100000,66.981348156999999,Balochistan,GBPS Amir Abad
112,30.561036926400000,66.960360693799998,Balochistan,GBPS Killi Amir Jan
113,30.562101121300000,66.965707515999995,Balochistan,GBPS Killi Haji Khair Muhammad
114,30.581644586300001,66.994541426599994,Balochistan,GBMIDS Pishin Town (Gwalmandi)
115,30.533109159500000,66.984662546099997,Balochistan,GBPS Killi Muhammad Ghous
116,30.578102140599999,66.971366683499994,Balochistan,GBPS Singar Lala Akhtar
117,30.483935531200000,66.949156439800007,Balochistan,GBHS Haiderzai Pishin
118,30.507736638000001,66.967156315400004,Balochistan,GBPS Obaid Ullah Yaro
119,30.545592303799999,66.968063338799993,Balochistan,GBPS Mulla Shado
120,30.563295843199999,66.987946768599997,Balochistan,GBMIDS Faizabad
121,30.542529569900001,66.987070349999996,Balochistan,GBHS Killi Abdullahjan Pishin
122,30.576050607199999,67.009263313500000,Balochistan,GBPS Lamaran
123,30.576204702599998,67.020777632000005,Balochistan,GBMIDS Muhammad Din Colony
124,30.555448368800000,67.068055580399999,Balochistan,GBPS Zark
125,30.575714403500001,66.991894271700005,Balochistan,GBMODHS Pishin
126,30.672763830200001,66.907918595200002,Balochistan,GBHS Karbala
127,30.675968295499999,66.891219612100002,Balochistan,GBMIDS New Karbala
128,30.637278439300001,66.940237992299998,Balochistan,GBPS Dori Sulemankhail
129,30.557313310600001,66.961729329700006,Balochistan,GBPS Jalat
130,30.623347551799998,66.926061486300000,Balochistan,GBHS Hakalzai
131,30.655276970399999,66.916131665999998,Balochistan,GBMIDS Daviyan Karbala
132,30.541344505000001,66.963223505000002,Balochistan,GBPS Killi Abdul Wahab
133,30.539964125299999,67.013932557100006,Balochistan,GBPS Killi Shair Khan
134,30.692571648000001,67.039283122699999,Balochistan,GBPS Sur Kali Bagarzai
135,30.754745648400000,67.135848086099998,Balochistan,GBPS Khado Khanzai
136,30.731541339200000,67.156271409100000,Balochistan,GBPS Qillah Askan Khan
137,30.657131671999998,66.989306915100002,Balochistan,GBPS Qillah Nadar Khan
138,30.684377989500000,67.056651283500003,Balochistan,GBPS Band Shakhal Zai
139,30.610960341100000,67.003133303499993,Balochistan,GBMIDS  Pitao  Bayan Zai
140,30.595325941100000,67.027641783199996,Balochistan,GBPS Old Batezai
141,30.579716504499999,67.000307739600004,Balochistan,GBPS Tahmire No Pishin Ward No.3
142,30.584517177900000,67.003175334600002,Balochistan,GBHS Shaheed Sher Mohamad Machan
143,30.751731676399999,67.144941001000007,Balochistan,GGMIDS Bala Khan Zai
144,30.713036306500001,67.082517621700006,Balochistan,GBPS Walham Zar
145,30.713354192000001,67.076142169600004,Balochistan,GBPS Chustian Manzaki
146,30.702975038200002,67.049784110499999,Balochistan,GBPS Sareela  Habibzai Badizai
147,30.604708243800001,67.008463483800000,Balochistan,GBPS Killi Khudainoor
148,30.611128358300000,67.019012854699994,Balochistan,GBPS Killi Noor Muhammad
149,30.708805640800001,67.068382965200001,Balochistan,GBHSS Manzaki
150,30.693192481800001,67.057808089900007,Balochistan,GBPS Sarilah Umarzai
151,30.741489185599999,67.124150642199993,Balochistan,GBPS Mian Khan Zai
152,30.749599681799999,67.146536459800004,Balochistan,GBHS Balah Sarkhan Zai
153,30.721031201300001,67.052622923300007,Balochistan,GBPS Kozh Ismail Zai
154,30.700375132800001,66.992802433500003,Balochistan,GBPS Sufanzai
155,30.708857731999998,67.023081086999994,Balochistan,GBPS Bagar  Zai Syedan
156,30.693547789699998,67.017306265900004,Balochistan,GBHS Balah Yaseen Zai
157,30.693409789499999,67.001296184200001,Balochistan,GBPS Kozh Yaseen Zai
158,30.672231629399999,66.973228723899993,Balochistan,GBMIDS Malezai
159,30.671313794900001,66.965560727799996,Balochistan,GBPS Abdul Haleem Malezai
160,30.679844663000001,67.041955002799995,Balochistan,GBMIDS Killi Walat
161,30.662569705199999,67.027425144700004,Balochistan,GBPS Wat Mekhan Zai
162,30.670631530500000,67.016015929700004,Balochistan,GBPS Surkhab Malezai
