FID,fclass,name,X,Y
0,bank,Askari Bank,73.011295399999995,33.698086000000004
1,bank,Allied Bank,73.010588700000000,33.697652499999997
2,bank,United Bank Ltd,73.011877200000001,33.696041100000002
3,bank,Askari Bank,67.009617700000007,24.849952500000001
4,monument,Quaid-e-Azam Muhammad Ali Jinnah,67.037328400000007,24.873234499999999
5,park,Gulsan Iqbal Park,74.288865200000004,31.512886000000002
6,attraction,Minar-e-Pakistan,74.309513699999997,31.592493399999999
7,monument,Minar-e-Pakistan,74.309513699999997,31.592493399999999
8,tower, ,66.908875699999996,24.854216800000000
9,viewpoint,K2,76.513740999999996,35.881869399999999
10,restaurant,Daman-e-Koh,73.057040299999997,33.738366599999999
11,viewpoint,Daman-e-Koh,73.057040299999997,33.738366599999999
12,bank,Standard Chartered,72.986771700000006,33.683721900000002
13,bank,Standard Chartered Bank,73.011336499999999,33.696683800000002
14,bank,City Bank,72.988777200000001,33.684908999999998
15,bank,Saudi Pak Commercial Bank,72.986874700000001,33.683814699999999
16,bank,Askari Bank,72.986012099999996,33.684398399999999
17,track,Trail #3 Starting Point,73.082177099999996,33.742573499999999
18,hospital,Ali Medical Center,73.041764400000005,33.710473800000003
19,convenience,Tariq Market,72.998842499999995,33.690534900000003
20,zoo,Marghazar Zoo,73.059497100000002,33.734262299999997
21,school,Islamabad College for Girls,73.072870399999999,33.730291600000001
22,fountain,Fountain,73.094235999999995,33.729917899999997
23,memorial,Chand Sitara,73.086272800000003,33.698043100000000
24,hospital,Noori Hospital,73.054522500000004,33.699919199999997
25,fountain, ,73.053830199999993,33.704699499999997
26,school,FG Boys Model School,73.020266300000003,33.684806999999999
27,cinema,Cinepax,73.073266500000003,33.585687299999996
28,hospital,Poly Clinic Hospital,73.082805300000004,33.721100600000000
29,archaeological,Mohenjo-daro VS area,68.136593300000001,27.321656999999998
30,restaurant,Khanji - Highway,67.214448399999995,24.985007000000000
31,university,GIKI,72.644042099999993,34.069551500000003
32,police,Kohsar Police Station,73.060407200000000,33.721924000000001
33,post_office,Pakistan Post Mall,73.053118999999995,33.718834100000002
34,water_tower,Water Tank,73.063793899999993,33.612262999999999
35,school,Sir Syed Public School,73.077146999999997,33.605107099999998
36,college,Vaqar un Nisa Girls College,73.075894300000002,33.603759599999997
37,college,Rawalpindi Medical College,73.068437799999998,33.602722999999997
38,college,Gordon College,73.061731800000004,33.608352500000002
39,library,Municipal Library,73.065114199999996,33.605485899999998
40,library,Al Sadiq Library Education Center,73.023291099999994,33.688603399999998
41,cafe,The Hot Spot,73.057678199999998,33.725947499999997
42,cafe,The Gelato Affair,73.057802699999996,33.725952700000001
43,cafe,Gloria Jeans Coffe,73.057940000000002,33.726059700000000
44,restaurant,Golden Dragon,73.057774899999998,33.726338699999999
45,cafe,The Hot Spot Cafe,73.081399800000000,33.736426199999997
46,cinema,NAFDEC Cinema,73.074366900000001,33.720372200000000
47,bank,Muslim Commercial Bank,73.085875500000000,33.725113600000000
48,hospital,CMH,73.049262600000006,33.581640899999996
49,school, ,73.054194499999994,33.696384700000003
50,police,Rescue 15,73.059737200000001,33.699499400000001
51,cinema, ,73.085645600000007,33.716718899999996
52,bank,Habib Bank Limited,73.085426499999997,33.718422199999999
53,bank,United Bank Limited,73.084743700000004,33.715424200000001
54,bank,Muslim Commercial Bank,73.085557100000003,33.716252699999998
55,hospital,Healthways,73.057513999999998,33.595276900000002
56,courthouse,District Courts,73.066080299999996,33.584518099999997
57,public_building,Parliment House,73.096956899999995,33.730117900000003
