FID,fclass,name,X,Y
0,golf_course,Peshawar Golf Club,71.561833836399998,34.018302614699998
1,park,Fatima Jinnah Park,73.022208248300004,33.701485905600002
2,graveyard,اسلام آباد قبرستان,73.065770545800007,33.686030802600001
3,golf_course,ڈی ایچ اے گالف کلب,67.098194224899999,24.772835395400001
4,picnic_site,Khanpur Dam,72.942858892399997,33.810548782700003
5,park,Rawalpindi Race Course,73.034688230800000,33.604847380599999
6,park,Liaquat Bagh,73.063459452600000,33.606251808800003
7,park, ,73.094570901400004,33.581852027499998
8,golf_course,Rawalpindi Golf Course,73.078699309900003,33.575204434299998
9,park,CDA Public Park,73.034274529900003,33.685724587199999
10,park, ,73.018206448000001,33.690114218200002
11,sports_centre,Hockey Ground,73.033376274700004,33.695198182699997
12,school,Fed Govt Primary School #32,73.035072047200003,33.696022013399997
13,park,Community Park,73.036183898999994,33.696956533799998
14,school, ,73.031410333899998,33.684803256599999
15,police,Shalimar Police Station,72.999931759500001,33.693913813400002
16,hospital,Pakistan Institute for Medical Sciences (PIMS),73.052152672700004,33.702361734900002
17,park,Children's Park,73.077632303399994,33.735123932699999
18,school,Fed Govt Junior Model School #68,73.039117272699997,33.691744306099999
19,school,F.G. Secondary School No. 14,73.029516837399996,33.682547545500000
20,golf_course,Karachi Golf Club,67.104616612100003,24.886655241400000
21,playground, ,73.034452952899997,33.714558810500002
22,college,OPF Girls College,73.037586592500006,33.714799124499997
23,college,Islamabad Model College for Boys F-8/4,73.041844067599996,33.708352033099999
24,park, ,73.083312895299997,33.590090017900003
25,park, ,73.006255493899999,33.687688552700003
26,park,Chota Park,73.017348079200005,33.684864254600001
27,park, ,73.017637543500001,33.684482352700002
28,park, ,73.042296093499999,33.725053213899997
29,park, ,73.048645648199994,33.716685796500002
30,park, ,73.046261911299993,33.723807708999999
31,park,Deer Enclosure,73.047852084799999,33.716095272899999
32,college,Federal Government College for Girls,73.051270029899996,33.717908239200000
33,playground,Rugby Ground,73.006682338199994,33.684905203400000
34,school, ,73.006965238899994,33.690158583399999
35,school,Islamabad Model College for Boys,73.059135053299997,33.727783802200001
36,school, ,73.005035430299998,33.685944839699999
37,playground,Hockey Ground,73.004450624300006,33.685624233600002
38,playground, ,73.053021561700007,33.715873673600001
39,school, ,73.072840710099996,33.730354441300001
40,school,F.G. Primary School,73.042958742799996,33.687098483699998
41,park,G-9/4 Park and Playground,73.040956663200006,33.686793891699999
42,school,Islamabad Model High School For Girls,73.040304037200002,33.688449260900001
43,college,FG Boys Model School G-9/4,73.037797760700002,33.687927452899999
44,sports_centre,Liaquat Gymnasium,73.094637474199999,33.703281193700001
45,pitch, ,73.098329524400000,33.702353245899999
46,pitch, ,73.096949124299996,33.702514097300003
47,stadium,Jinnah Stadium,73.092849721199997,33.700408650000000
48,sports_centre, ,73.095671374099993,33.701287139100003
49,playground, ,73.096981299999996,33.701231399999998
50,school,Jamia Afridia,73.051098660600005,33.731168230700000
51,hospital,Noori Hospotsal,73.054667977400001,33.699999656700001
52,school,FG Girls Model School G-9/3,73.035442805100004,33.692836855400003
53,park,Rose Garden Park,73.085745964899999,33.587489699999999
54,park, ,73.090534158400004,33.586577523199999
55,park, ,73.088571933099999,33.588658534399997
56,sports_centre,Islamabad Club,73.105825916699999,33.705345621100001
57,golf_course,Islamabad Golf Club,73.105097488400006,33.701071413500003
58,pitch,Shalimar Cricket Ground,73.074505193500002,33.739249772900003
59,park,Bara Park,73.019704678300002,33.686246979800003
60,playground, ,73.075096724800005,33.674364726500002
61,park, ,73.077730646299997,33.670883959999998
62,park, ,73.074787422499995,33.670286765900002
63,playground, ,73.073896113000004,33.671091306699999
64,park,Jinnah Park,73.073749491900003,33.584744532099997
65,park,Sarwar Park,73.058829186200001,33.589456970100002
66,park,Shah Balut Park,73.047138202400006,33.595887286299998
67,park,Park,73.037327096499993,33.688869265199997
68,school, ,73.062172561699995,33.608841372699999
69,school, ,73.077081324700004,33.605097661000002
70,school,Viqaar Un Nisa Women College,73.073657263200005,33.601777464900003
71,college, ,73.068975411300002,33.601826567899998
72,hospital,Benazir Bhutto Hospital,73.071715227200002,33.627607187700001
73,stadium,CDA Cricket Stadium,73.031354078199996,33.681023895599999
74,park, ,73.081795598100001,33.665779451399999
75,park, ,73.076474253800001,33.665066568400000
76,park, ,73.076346450000003,33.661586049999997
77,park, ,73.078406400000006,33.662650450000001
78,park, ,73.074217735500000,33.664227688700002
79,park, ,73.066513713600003,33.663124441900003
80,park, ,73.068899478999995,33.662571289100001
81,hospital,Shifa International Hospital,73.066574898400006,33.675934541200000
82,school,The City School,73.064458823799995,33.678503073500003
83,school, ,73.065950047900003,33.681965283499999
84,park, ,73.010441243499997,33.673065170900003
85,park,Children Park,73.013620265000000,33.670764854200002
86,school, ,73.014443057799994,33.671640336599999
87,park, ,73.012133729400006,33.672369256300001
88,park, ,73.012818631800002,33.674533945900002
89,park, ,72.994464414700005,33.669625984000000
90,park, ,72.992784234699997,33.673524839899997
91,park,Multipurpose Public Park,73.020989951800004,33.680206104500002
92,park,kids Park,73.022241191600003,33.679738754600002
93,park,Square Park,73.023544623099994,33.679041730999998
94,park, ,73.025418679100000,33.676312488000001
95,college,Islamabad Model College for Boys,73.021876511299993,33.675947099299997
96,park,Park,73.019656901800005,33.683195067000000
97,school,Islamabad model school for boys G-10/3,73.019112030000002,33.687190094300000
98,school, ,73.015383053999997,33.685294447399997
99,park, ,73.063739468600005,33.584980473599998
100,park,Allama Iqbal Park,73.076769389000006,33.648568672700002
101,stadium,Rawalpindi Cricket Stadium,73.076050512300000,33.651503149100002
102,park,Roomi Park,73.043109542600007,33.599208941999997
103,park, ,73.080232686800002,33.604334773300003
104,graveyard,Jadeed Qabristan,73.072358472000005,33.609155812899999
105,park, ,73.069642993200006,33.614678756899998
106,graveyard,Shah De Tahlian,73.066054366399996,33.610749435700001
107,park, ,73.067643813199993,33.640071145000000
108,college, ,73.065180516799998,33.641952318700000
109,hospital,Holy Family Hospital,73.057077651200004,33.640560002800001
110,park,Argentina Park,73.083887089000001,33.719626335199997
111,park, ,73.015789201600001,33.689015982500003
112,school,Sadiq Public School,71.656238212199995,29.376420171600000
113,park,Gulzar-e-Sadiq,71.666313888700003,29.391296557499999
114,pitch,Bahawalpur Stadium,71.684362591300001,29.404063389200001
115,school, ,73.030721063800002,33.646923130499999
116,playground, ,73.032945658200006,33.646821987700001
117,park, ,73.034598549199998,33.647206167299998
118,playground, ,73.031693290500002,33.649551495499999
119,school, ,73.032606302999994,33.648315504000003
120,school, ,73.033167219500001,33.649115565099997
121,park, ,73.031144638699999,33.651824300500003
122,park, ,73.029393575200004,33.651590042300001
123,pitch, ,73.042818941799993,33.645419447700000
124,school, ,73.043211412900007,33.644901300000001
125,school, ,73.045210826399995,33.646646016900000
126,school, ,73.047262335499994,33.646381005800002
127,park, ,73.071823950099997,33.676188569899999
128,school, ,73.079594658299996,33.709807886400000
129,playground, ,73.083717977700005,33.712215099500000
130,school,Federal Government Girls Model School,73.085275469699994,33.712763084999999
131,school, ,73.082955917400000,33.707292909499998
132,playground,Embassy Ground,73.099382994300001,33.713482995800000
133,hotel,Islamabad Hotel,73.084336054000005,33.716042175799998
134,school,FG Boys Model School,73.095212609000001,33.715432158799999
135,school, ,73.089684524800006,33.713725882100000
136,school,F.G Model School No. 36 G-9/2,73.024520808000005,33.688980751300001
137,college,FG Girls College No. 9 G-9/2,73.027794435000004,33.688516264000000
138,school,Islamabad Model School for Girls,73.045657645000006,33.695718782699998
139,school,FG Junior Model School,73.046665024700005,33.692701933899997
140,playground, ,73.048323516400004,33.691235907299998
141,library,National Library,73.101634403299997,33.726776503499998
142,town_hall,Federal Board of Revenue,73.095892216999999,33.727265432700001
143,hospital,Al Ihsan Hospital,73.061229501300005,33.599012795599997
144,stadium,KRL Cricket Ground,73.105659130500001,33.618913583800001
145,school,National Training Center for Special Persons,73.030787745900000,33.692771790999998
146,playground, ,73.026214262899998,33.687418863200001
147,school, ,73.044891852899994,33.700029325300001
148,park, ,73.044237095800000,33.700967593800002
149,park, ,72.997008500999996,33.675831057000003
150,park, ,72.992687459300001,33.666525391900002
151,playground,Public Park,72.999089499999997,33.663696600000002
152,park,CDA G-11/2 Park,72.987793561700002,33.670912638600001
153,hotel,Pearl Continental Hotel,73.056133426800002,33.588610792600001
154,school, ,73.075368119000004,33.663096915399997
155,school,Islamabad Model College for Boys,73.067448499700006,33.666068678000002
156,playground, ,73.074575898500001,33.662689482899999
157,hospital,DHQ Hospital,73.053134771900005,33.612744421899997
158,hospital,Armed Forces Institute of Cardiology,73.044874354499996,33.597172250000000
159,graveyard,Harley Street Cemetery (Gora Kabrastan),73.049876895400004,33.577261232399998
160,school,FG Girls Higher Secondary School,73.057090973699999,33.696141886699998
161,school,FG Boys Model School,73.058060769099995,33.693591661299997
162,school,FG Junior Model School,73.054214283400000,33.696030178900003
163,school,FG Girls Model Middle School,73.059318575299997,33.694436381599999
164,school,Islamabad Model School,73.059165971900001,33.697662108700001
165,post_office,General Post Office (GPO),73.084709766800003,33.717954426900000
166,police,Aabpara Police Station,73.084329555799997,33.717650314600000
167,bank,National Bank of Pakistan,73.085155860499995,33.717207371400001
168,university,Center for Advanced Studies in Engineering,73.096758237100005,33.719317402300000
169,school,Islamabad College for Boys,73.087471742800005,33.721272751000001
170,post_office,Rawalpindi GPO,73.051294958400007,33.594725388800001
171,courthouse,Supreme Court of Pakistan,73.098455178699993,33.727815818899998
172,hotel,Islamabad Marriott Hotel,73.087116648899993,33.732712048700002
173,park, ,73.027266056599998,33.723799210499998
174,college,FG College for Women,73.018833630700001,33.679645880800003
175,park, ,73.017279301900004,33.682600208899999
176,school,FG Junior Model School # 43,73.023966184000002,33.677464491800002
177,school,FG Girls Model School,73.064078341799998,33.704475498800001
178,park, ,73.065736209999997,33.708977294800000
179,park,Quaid-e-Azam Park,73.060400367699998,33.646380868100003
180,park,F-Block Park,73.060389502800007,33.644431143399999
181,college, ,73.073047816200003,33.671507581599997
182,park, ,73.072128676800006,33.633027143100001
183,park, ,73.070548748799993,33.630605250800002
184,park, ,73.060728096500000,33.630676770800001
185,school, ,73.070178499299999,33.682460024400001
186,school, ,73.071238358800002,33.681557740999999
187,park, ,74.390377483199998,31.550213670400002
