FID,Category,Name,District,Province,Latitude,Longitude
0,GENERAL PHYSICIAN,SHAEEN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.170730051400000,73.258977805900003
1,GENERAL PHYSICIAN,BANO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.169540169100003,73.259008387700007
2,GENERAL PHYSICIAN,MANGAL POLY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.157436589699998,73.263336374900007
3,GENERAL PHYSICIAN,NUSRAT MEHMOOD CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.147856873400002,73.262899274299997
4,GENERAL HOSPITALS,ALTAF HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145415322399998,73.218433999499993
5,GENERAL HOSPITALS,HIRA HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144376420400000,73.216190350199994
6,GENERAL PHYSICIAN,ROOHI TABSAMM CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146167087700000,73.215810703900004
7,GENERAL PHYSICIAN,NARGIS DANISH CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145849198900002,73.215654633000000
8,DENTAL CLINIC,SMILE DENTAL CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.149330792699999,73.212379115000005
9,GENERAL HOSPITALS,REHMAT MEMORIAL HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.170127419400004,73.225166487500005
10,GENERAL HOSPITALS,NARGIS ARIF HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.187399587000002,73.239249709000006
11,GENERAL HOSPITALS,JINNAH HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.187417518899998,73.238478338700006
12,GENERAL HOSPITALS,MARGIS ARIF HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.188140817099999,73.239340974699999
13,GENERAL HOSPITALS,ORUSH HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.194083911900002,73.235018763499994
14,GENERAL PHYSICIAN,RAHAT UN NISA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.196414320499997,73.236848170700000
15,GENERAL PHYSICIAN,ZAIN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145786552099999,73.219447140400007
16,MEDICAL STORES,SHAFIQ MEDICAL CENTER,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.196244405500003,73.236232466900006
17,GENERAL HOSPITALS,RUQIA HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.199133758599999,73.238737313599998
18,MEDICAL STORES,BURJ AL DAHAR MEDICAL CENTER,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.204394316100000,73.239774708200002
19,GENERAL HOSPITALS,AYUB MEDICAL COMPLEX,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.203739458299999,73.233839388899995
20,GENERAL HOSPITALS,BACH CHRISTIAN HOSPITAL,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.264378305900003,73.235358011800002
21,MEDICAL STORES,SHIFA HEALTH CENTER,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.150797011900003,73.311439006699999
22,HOMEOPATHIC,HOMEO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.128802968000002,73.341013624499993
23,GENERAL PHYSICIAN,MAJIDA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.140454793799996,73.232780723999994
24,GENERAL PHYSICIAN,BADAR CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.162489417899998,73.251243773599995
25,MEDICAL STORES,JINNAH PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.189040506399998,73.233692607899997
26,MEDICAL STORES,SHIFA PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202766753699997,73.239058700900003
27,MEDICAL STORES,AZEEM PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.202946495500001,73.239197376199996
28,MEDICAL STORES,ABBOTT PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145996424700002,73.215513869199995
29,MEDICAL STORES,SAIF PHARMACY,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.147782639399999,73.212974020100006
30,MEDICAL STORES,MEDICAL STORE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.264305166600003,73.235883544299995
31,MEDICAL STORES,WASIF MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.157122917899997,73.238736469200006
32,MEDICAL STORES,SHAH MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146739347699999,73.221838661600003
33,MEDICAL STORES,ADIL MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.145252045800000,73.219062835399995
34,MEDICAL STORES,HAZARA JANNAT MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144672663199998,73.216667481000002
35,MEDICAL STORES,BILAL MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146075962499999,73.215566647900005
36,MEDICAL STORES,ZARBAT MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.146222950199999,73.215602763000007
37,GENERAL HOSPITALS,REHMAN HOSPITAL & ZERBAT MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.144546096299997,73.211233944800000
38,MEDICAL STORES,JINNAHABAD MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.187588646700000,73.238775182099999
39,MEDICAL STORES,MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.197079272700002,73.245347723799995
40,MEDICAL STORES,AL-SADAAT MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.128041027000002,73.343126194500002
41,MEDICAL STORES,AL-SHAMS MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.027981402100004,73.108997462700003
42,MATERNITY HOME,NOOR-UL-HUDA MEDICAL CENTRE & MATERNITY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.982802449399998,73.399644770099997
43,MEDICAL STORES,SHAHID MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.966993682099996,73.389380224600004
44,MEDICAL STORES,ABBASI MEDICAL CENTRE,ABBOTTABAD,KHYBER PAKHTUNKHWA,33.965608013299999,73.388700635500001
45,GENERAL PHYSICIAN,KHALIDA PARVEEN CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.305351327099999,73.313497557299996
46,GENERAL PHYSICIAN,SAKINA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.290451456800000,73.305490215399999
47,ROUTINE TEST LABORATORIES,ISLAMABAD CLINIC & LAB,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.063588519500001,73.490146579400005
48,GENERAL PHYSICIAN,AL-SHIFA FAMILY CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.053629801699998,73.491200076900000
49,HOMEOPATHIC,AL-NOOR HOMEOPATHIC CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.046286702700002,73.492904512799996
50,GENERAL PHYSICIAN,SHAMA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.057799629599998,73.352414759799998
51,GENERAL PHYSICIAN,JADOON CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.117370641500003,73.357269633700000
52,GENERAL PHYSICIAN,AL-SHIFA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.128499059699998,73.346946100599993
53,GENERAL PHYSICIAN,SAIMA CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.164430844999998,73.252252499999997
54,GENERAL PHYSICIAN,SIQA BANO CLINIC,ABBOTTABAD,KHYBER PAKHTUNKHWA,34.164781737100000,73.252973887300001
