radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,410,7,2023,40272,0,73.07487488,31.38999939,1000,1,1,1459768996,1459768996,0
GSM,410,3,53340,33939,0,74.08699036,31.88163757,1000,1,1,1459746647,1459746647,0
GSM,410,7,2023,18032,0,73.07624817,31.39549255,1000,1,1,1459768996,1459768996,0
GSM,410,7,2023,41051,0,73.0721283,31.38313293,1000,1,1,1459768996,1459768996,0
GSM,410,7,401,702,0,73.08036804,31.4188385,1000,1,1,1459659266,1459659266,0
GSM,410,7,401,28872,0,73.08174133,31.4188385,1000,1,1,1459659266,1459659266,0
GSM,410,7,401,732,0,73.07899475,31.42295837,1000,1,1,1459768990,1459768990,0
GSM,410,7,2023,18043,0,73.07624817,31.39549255,1000,1,1,1459768996,1459768996,0
GSM,410,7,401,28871,0,73.08311462,31.4188385,1000,1,1,1459659266,1459659266,0
GSM,410,7,401,28873,0,73.08036804,31.4188385,1000,1,1,1459659266,1459659266,0
GSM,410,6,690,31831,0,73.15452576,31.45317078,1000,1,1,1459683953,1459683953,0
GSM,410,3,58809,15068,0,73.1803,33.533053,4786,13,1,1459707955,1510586584,0
GSM,410,6,690,37083,0,73.1627655,31.45591736,1000,1,1,1459683953,1459683953,0
GSM,410,6,715,31083,0,73.08998108,31.42433167,1000,1,1,1459683953,1459683953,0
GSM,410,3,59921,16258,0,67.0337677,24.88471985,1000,1,1,1459692578,1459692578,0
GSM,410,3,53305,23710,0,74.061813,31.793289,1000,3,1,1459786717,1491820641,0
GSM,410,3,53305,13822,0,74.03617859,31.80473328,1000,1,1,1459746647,1459746647,0
GSM,410,3,53305,13824,0,74.07051086,31.8624115,1000,1,1,1459746647,1459746647,0
GSM,410,7,2023,18113,0,73.050842,31.404076,1000,8,1,1459813070,1473895630,0
GSM,410,7,2023,40233,0,73.06938171,31.39823914,1000,1,1,1459768996,1459768996,0
GSM,410,7,2023,40932,0,73.072128,31.374207,1000,2,1,1459813070,1481714256,0
GSM,410,3,53305,13516,0,74.06776428,31.82807922,1000,1,1,1459746641,1459746641,0
GSM,410,7,2023,40271,0,73.07487488,31.39686584,1000,1,1,1459768996,1459768996,0
